142 152 154 156 157 158 160 161 163 164 165 169
145 152 154 156 157 158 160 161 163 164 165 169
145 152 154 156 157 158 160 161 163 164 165 169
145 152 154 156 157 158 160 161 163 164 165 169
146 152 155 156 157 158 160 161 163 164 166 169
147 152 155 156 157 158 160 161 163 164 166 169
147 153 155 156 158 158 160 161 163 164 166 169
147 153 155 156 158 158 160 161 163 164 166 170
147 153 155 156 158 159 160 162 163 164 166 170
148 153 155 156 158 159 160 162 163 164 166 170
148 153 155 156 158 159 160 162 163 164 166 170
149 153 155 156 158 159 160 162 163 164 166 170
150 153 155 156 158 159 160 162 163 164 166 170
150 153 155 156 158 159 160 162 163 164 166 170
150 153 155 156 158 159 160 162 163 164 166 170
150 153 155 157 158 159 160 162 163 165 167 170
150 153 155 157 158 159 160 162 163 165 167 170
150 153 155 157 158 159 161 162 163 165 167 170
151 153 155 157 158 159 161 162 163 165 167 171
151 153 155 157 158 159 161 162 163 165 167 171
151 153 155 157 158 159 161 162 163 165 167 171
151 153 155 157 158 159 161 162 163 165 167 173
151 153 155 157 158 159 161 162 163 165 168 173
151 154 155 157 158 159 161 162 163 165 168 173
152 154 155 157 158 159 161 162 163 165 168 174
152 154 156 157 158 160 161 162 163 165 168 176
152 154 156 157 158 160 161 163 163 165 168 177
152 154 156 157 158 160 161 163 164 165 168 178
152 154 156 157 158 160 161 163 164 165 169 178
152 154 156
